Crops,Distance,Prices,Names
Maize,565,103,Matt Ebbs
Maize,527,109,Harry Blackburn
Maize,727,109,Hope Samuel
Barley,801,63,Melania Wilkinson
Rice,205,36,William Villiger
Rice,810,33,Quinn Gallacher
Barley,42,61,Doris Marshall
Barley,844,69,Barry Stevens
Barley,998,64,Ryan Trent
Rice,936,38,Bryon Rothwell
Maize,965,106,Scarlett Whitmore
Maize,742,109,Manuel Thatcher
Barley,628,68,Mona Cavanagh
Rice,301,36,Nick Swan
Wheat,381,37,Alma Moran
Wheat,793,39,Felicity Yard
Rice,824,31,Ada Murray
Rice,305,30,Janice Morgan
Rice,325,34,Denny Denton
Rubber,62,13,Danny Morley
Wheat,112,32,Shelby Wallace
Wheat,665,35,Chuck Shepherd
Wheat,838,36,Percy Torres
Barley,747,68,Peter Quinton
Rubber,640,10,Daron Gates
Rice,922,37,Percy Vinton
Rubber,816,17,Selena Thorpe
Rice,190,38,Jacob Ebden
Wheat,641,31,Ryan Pearson
Barley,730,65,Ruth Willson
Maize,822,105,Carl Price
Rice,582,37,Logan Neville
Maize,447,100,Tyler Watson
Maize,246,103,Melanie Palmer
Wheat,930,32,Emma Mooney
Rubber,161,12,Harvey London
Wheat,421,37,Sabina Radley
Rice,310,39,Shannon Mitchell
Rice,276,39,Robyn Stevens
Rice,943,38,Oliver Richards
Rice,231,36,Michael Wilkinson
Rubber,291,16,Alan Eyres
Barley,744,60,Carl Allwood
Barley,883,62,Sloane Lane
Wheat,268,30,Nick Flynn
Rubber,422,17,Shay Kirby
Maize,976,109,Ramon Needham
Barley,509,67,Danny Wren
Rice,641,36,Rosalee Shelton
Barley,565,61,Maxwell Samuel
Barley,414,68,Henry Burge
Rice,20,38,Samantha Parker
Rice,90,30,Ivette Reynolds
Rubber,133,12,Anthony Craig
Wheat,789,33,Barry Scott
Barley,455,65,Maxwell Hunter
Wheat,435,35,Mackenzie Lewis
Rubber,480,10,Tyson Reyes
Wheat,599,38,Trisha Quinn
Wheat,997,30,Wade Allen
Barley,757,67,Robyn Cooper
Rice,750,30,Julius Thatcher
Maize,946,108,Jack Wills
Rubber,906,17,Sabrina Jarrett
Barley,167,67,Nicole Jobson
Wheat,356,34,Marvin Bloom
Wheat,910,37,Carter Lomax
Maize,523,104,Ron Griffiths
Wheat,366,32,Ivy Groves
Rubber,669,12,Brad Ingram
Rubber,244,11,Matt Slater
Maize,12,104,Harvey Vincent
Wheat,582,37,Josh Ainsworth
Rubber,895,12,Naomi Stewart
Wheat,589,33,Amy Reid
Rice,388,30,Jaylene Lane
Rice,328,38,Alison Wooldridge
Rubber,441,18,Marvin Middleton
Rice,517,38,Peter Rivers
Rubber,641,12,Wade Janes
Wheat,608,39,Oliver Goldsmith
Barley,567,68,Nathan Vincent
Rubber,824,15,Marilyn Cassidy
Maize,110,107,Cherish Cameron
Wheat,195,35,Nathan Simpson
Barley,868,65,Grace Mason
Barley,594,64,Holly Rixon
Rubber,884,11,Maria Hancock
Barley,464,67,Leroy Flett
Barley,953,69,Jayden Phillips
Wheat,905,38,Henry Alcroft
Barley,761,69,Mavis Stevenson
Barley,451,60,Makenzie Bristow
Wheat,533,30,Carl Fenton
Rubber,85,17,Freya Ebden
Rubber,435,13,Melanie Whatson
Rubber,252,15,Elijah Johnson
Rubber,123,10,Margot Snell
Rubber,656,19,Anne Leigh
Barley,780,64,Anthony Horton
Barley,622,67,Greta Pond
Wheat,379,30,William Richards
Rice,508,33,Deborah Rogers
Barley,39,64,Noah Dale
Wheat,544,34,Katelyn Farrow
Barley,256,64,Hayden Skinner
Maize,263,103,Tony Howard
Maize,718,106,Eve Murphy
Maize,922,107,Sebastian Wood
Barley,231,67,Janelle Page 
Rubber,726,15,Bernadette Vallory
Maize,320,105,Harry Mason
Rice,111,34,Susan Crawley
Rice,752,31,Felicity Alexander
Rice,573,37,Hope Ryan
Wheat,873,36,Dorothy Preston
Maize,844,106,Tony Simpson
Barley,195,68,Mason Emerson
Rice,431,38,Ilona Connell
Wheat,711,31,Ryan Bristow
Barley,922,68,Elijah Powell
Rubber,882,15,Keira Parr
Rice,138,32,Janice Hobbs
Rubber,225,15,Dakota Potter
Barley,835,62,Hannah Whittle
Rubber,179,12,Doug Irving
Barley,984,60,Willow Allen
Rubber,9,19,Mya Tyler
Rubber,853,11,Carmen Avery
Wheat,89,34,Michael Bailey
Rice,498,34,Lorraine Campbell
Wheat,969,35,Callie Stewart
Barley,522,68,Tyler Collins
Rice,833,32,Molly Coleman
Rice,962,33,Alexander Spencer
Rubber,133,12,Nicholas Mason
Rubber,418,18,Erin Dyson
Rubber,441,16,Martha Burge
Rubber,720,19,Chris Davies
Rice,184,31,Karen Mason
Rice,3,32,Aurelia Ianson
Rubber,960,14,Joseph Wright
Rubber,437,17,Roger Vernon
Barley,327,66,Sofie Ryan
Rice,248,37,Noemi Dillon
Wheat,343,36,Peter Dickson
Barley,132,69,Anais Riley
Wheat,927,38,Rachael Smith
Rice,835,39,Sage Cameron
Barley,675,69,Javier Ellis
Maize,618,108,Joyce Harrington
Wheat,184,31,Henry Khan
Wheat,867,33,Gil Logan
Rice,200,33,Johnathan Mason
Rice,386,34,Harvey Mann
Wheat,129,37,Barney Blackburn
Rubber,656,17,David Pierce
Rice,180,38,Carter Evans
Rice,542,36,Liv Ogilvy
Barley,560,65,Trisha Crawley
Rubber,914,14,Hayden Shaw
Rubber,714,16,Jaylene Smith
Wheat,140,38,John King
Barley,462,66,John Stubbs
Maize,537,104,Tony Knight
Maize,396,109,Penny Andersson
Maize,251,106,Paula Webster
Rubber,858,14,Destiny Sloan
Maize,538,101,Iris Noach
Wheat,439,37,Mark Jeffery
Barley,297,61,Jacqueline Saunders
Rubber,678,15,Henry Warden
Barley,485,68,Paige Clayton
Maize,599,103,Angelique Morrison
Rubber,705,17,Harry Vincent
Maize,366,106,Jackeline Robertson
Maize,639,109,Keira Salt
Rice,184,38,Cherish Lane
Maize,788,105,Victoria Jeffery
Wheat,811,33,Johnathan Harris
Maize,583,102,Julius Coll
Wheat,121,31,Denis Tindall
Barley,597,62,Matt Norton
Maize,913,100,Tony Matthews
Rice,162,39,Julius Payne
Rice,946,38,Ron Silva
Rice,828,30,Fiona Wren
Rubber,425,12,Dakota Robinson
Maize,693,104,Tyler Stuart
Maize,424,103,Thea Haines
Barley,218,61,Leilani Wilkinson
Maize,556,100,Matt Collins
Wheat,731,39,Jacob Miller
Barley,594,65,Evelynn Bingham
Barley,43,69,Andie Phillips
Maize,768,107,Cedrick Graves
Rice,777,30,Crystal Neville
Rice,512,37,Chanelle Lewin
Rubber,756,13,Danny Norman
Wheat,631,32,Carina Aldridge
Rice,487,32,Natalie Russel
Rubber,824,18,Bart Rowlands
Rubber,340,13,Tyler Gallacher
Maize,474,109,Martin Rycroft
Wheat,953,31,Rachael Holmes
Maize,633,102,Kimberly Rossi
Maize,939,107,Maggie Sinclair
Barley,974,61,Alan Thatcher
Rubber,926,10,Javier Atkinson
Maize,420,102,Sofie Griffiths
Barley,238,68,Henry Thomas
Rice,629,34,Jackeline Emerson
Rice,337,36,Tiffany Wren
Wheat,978,39,Anne Booth
Wheat,775,32,Gil Warren
Wheat,730,38,Vanessa Alldridge
Rice,716,31,Jade Rowe
Wheat,768,34,Barney Butler
Barley,620,66,Benjamin Morgan
Maize,205,106,Phillip Rogers
Wheat,14,36,Domenic Varley
Maize,969,108,Janice Garner
Maize,288,108,Tania Russell
Rice,628,36,Daniel Wright
Maize,619,103,Alan Stanton
Barley,201,65,Fred Rodgers
Barley,256,64,Nancy Flett
Rubber,72,19,Taylor Shields
Rubber,146,12,Luke Hastings
Wheat,314,34,Adelaide Tyler
Wheat,660,35,Alexander Styles
Barley,83,65,Daria Drummond
Rubber,463,19,Daron Kelly
Wheat,290,35,Matthew Nelson
Rice,619,30,Benjamin Lyon
Barley,238,66,Maribel Beal
Rice,644,31,Hank Phillips
Rubber,816,10,Alan Davies
Wheat,727,37,Barney Edley
Rubber,723,15,Sebastian Glass
Barley,827,67,Ciara Archer
Barley,839,64,Adelaide Huggins
Rice,159,34,Olivia Stevens
Rice,482,31,Doug Downing
Barley,20,66,Marina Pickard
Barley,722,63,Savannah Greenwood
Wheat,255,38,Phillip Matthews
Maize,282,109,Olivia Ranks
Barley,170,60,Rae Cooper
